,city,cloudiness,country name,humidity,latitude,temperature,windspeed
69,yulara,75,AU,30,-25.24,84.2,1.12
70,geraldton,40,AU,46,-28.77,73.6,19.46
71,sergeyevka,4,KZ,91,53.88,21.96,7.38
72,sola,100,VU,81,-13.88,81.68,13.11
73,aljezur,73,PT,80,37.32,57.27,3.36
74,butaritari,23,KI,79,3.07,83.16,16.44
75,dawson creek,40,CA,78,55.77,8.08,12.75
76,roros,89,NO,79,62.57,28.4,13.87
77,provideniya,100,RU,96,64.38,29.21,15.68
78,port alfred,69,ZA,97,-33.59,64.99,4.0
79,vao,65,NC,72,-22.67,73.98,19.26
80,gilbues,66,BR,75,-9.83,72.93,2.68
81,plettenberg bay,23,ZA,84,-34.05,61.25,6.73
82,chermoz,100,RU,89,58.79,32.86,1.77
83,faanui,34,PF,77,-16.48,82.89,13.89
84,weligama,100,LK,75,5.97,82.11,4.38
85,sal rei,40,CV,83,16.18,69.8,5.82
86,tazovskiy,96,RU,95,67.47,9.95,8.14
87,ancud,2,CL,87,-41.87,48.2,8.05
88,dzhebariki-khaya,100,RU,94,62.22,26.08,6.4
89,tiznit,99,MA,62,29.58,56.17,2.62
90,salalah,20,OM,78,17.02,78.8,3.36
91,ostersund,100,SE,74,63.18,31.77,11.41
92,urucui,100,BR,82,-7.23,75.79,2.62
93,shubarkuduk,94,KZ,64,49.14,39.65,14.18
94,flin flon,100,CA,96,54.77,26.24,6.13
95,bethel,90,US,81,41.37,43.23,9.17
96,sao filipe,100,CV,81,14.9,73.06,3.04
97,ozu,75,JP,72,33.5,59.0,10.29
98,lompoc,2,US,71,34.64,59.02,11.41
99,tumut,0,AU,31,-35.3,74.3,5.19
100,cabo san lucas,40,MX,26,22.89,71.8,4.7
101,codrington,20,AU,60,-38.27,66.51,9.06
102,tarata,75,BO,52,-17.62,66.2,3.36
103,tual,89,ID,75,-5.67,84.52,10.76
104,esmeraldas,100,BR,78,-19.76,73.35,2.24
105,chavakkad,20,IN,88,10.53,80.6,6.93
106,roald,100,NO,86,62.58,40.66,25.28
107,kiama,75,AU,61,-34.68,77.52,8.05
108,yeniseysk,100,RU,90,58.45,35.19,10.09
109,gat,15,IL,42,31.61,65.66,3.36
110,carutapera,100,BR,85,-1.2,79.74,5.91
111,hamilton,1,US,70,39.18,47.25,6.93
112,siparia,20,TT,73,10.13,76.89,6.93
113,am timan,35,TD,15,11.03,76.98,4.45
114,garowe,92,SO,70,8.41,76.8,8.7
115,cidreira,0,BR,91,-30.18,72.45,4.05
116,iwakuni,90,JP,58,34.15,60.22,4.7
117,san jeronimo,79,PE,28,-11.95,46.44,1.66
118,barrow,1,US,70,71.29,1.4,14.99
119,starokostyantyniv,0,UA,83,49.76,27.61,9.89
120,hermanus,99,ZA,87,-34.42,57.0,4.43
121,port lincoln,33,AU,57,-34.73,66.9,4.5
122,mandalgovi,1,MN,41,45.76,27.01,6.85
123,victoria,40,HK,94,22.29,67.37,8.05
124,severnoye,90,RU,93,56.35,31.69,10.38
125,namie,75,JP,100,37.48,53.78,3.36
126,nola,62,IT,93,40.92,49.78,2.24
127,yellowknife,20,CA,45,62.46,2.28,9.17
128,trelew,0,AR,63,-43.25,57.87,11.32
129,gamagori,75,JP,93,34.83,55.44,11.41
130,tasiilaq,97,GL,100,65.61,30.2,7.96
131,wamba,100,NG,57,8.93,81.16,2.68
132,batemans bay,52,AU,74,-35.72,71.31,3.0
133,kyzyl-suu,59,KG,32,42.34,39.92,6.04
134,hasaki,75,JP,71,35.73,54.59,11.41
135,honiara,75,SB,79,-9.43,86.0,4.7
136,lavrentiya,100,RU,96,65.58,19.04,17.45
137,quatre cocos,40,MU,100,-20.21,78.04,4.7
138,bredasdorp,100,ZA,81,-34.53,51.8,3.15
139,constitucion,0,CL,55,-35.33,58.75,8.81
140,krasnoselkup,10,RU,95,65.7,12.38,7.36
141,cape town,20,ZA,77,-33.93,61.18,6.93
142,muros,20,ES,69,42.78,41.52,10.29
143,pevek,100,RU,95,69.7,14.32,4.16
144,yar-sale,11,RU,94,66.83,12.58,14.88
145,coihaique,1,CL,87,-45.58,42.8,3.0
146,lander,1,US,33,42.83,43.25,9.17
147,bonga,76,ET,57,7.28,60.67,1.57
148,kovdor,40,RU,92,67.57,11.41,6.31
149,poum,54,NC,76,-20.23,78.26,17.9
150,upernavik,100,GL,96,72.79,16.48,12.24
151,bourail,71,NC,61,-21.57,79.77,11.83
152,vila velha,75,BR,83,-20.33,79.43,3.36
153,santa leopoldina,75,BR,83,-20.1,79.39,3.36
154,nanortalik,67,GL,96,60.14,31.8,13.6
155,pisco,90,PE,83,-13.7,71.33,9.17
156,alyangula,100,AU,59,-13.85,91.4,10.29
157,ewa beach,75,US,61,21.32,76.69,4.7
158,new norfolk,75,AU,45,-42.78,62.06,12.75
159,terrace bay,69,CA,94,48.78,26.91,13.22
160,esperance,0,AU,46,-33.87,71.6,4.7
161,ixtapa,40,MX,83,20.7,75.2,4.7
162,warah,60,PK,37,27.45,78.87,10.94
163,east london,93,ZA,79,-33.02,70.21,3.56
164,zolochiv,3,UA,85,49.81,19.4,6.53
165,chokurdakh,100,RU,91,70.63,-1.43,12.12
166,san andres,20,CO,74,12.58,82.4,8.05
167,casablanca,52,MA,100,33.59,61.05,18.34
168,kieta,100,PG,78,-6.22,83.5,10.29
169,murmashi,15,RU,84,68.82,-2.2,2.24
170,margate,20,GB,93,51.38,40.21,9.17
171,ponta do sol,20,PT,59,32.67,56.28,6.93
172,bengkulu,25,ID,59,-3.8,87.82,3.24
173,sungaipenuh,11,ID,48,-2.08,80.64,0.25
174,hovd,0,MN,41,48.01,27.21,1.28
175,loyga,100,RU,92,61.08,20.52,5.35
176,fort nelson,90,CA,78,58.81,8.6,4.7
177,thompson,75,CA,62,55.74,24.8,11.41
178,sorland,100,NO,87,67.67,39.16,40.98
179,qandala,92,SO,73,11.47,81.95,3.02
180,shingu,75,JP,72,33.73,64.4,4.7
181,livingstonia,55,MW,61,-10.61,64.89,2.91
182,talnakh,93,RU,83,69.49,-5.8,6.71
183,severo-kurilsk,20,RU,92,50.68,33.22,9.6
184,puerto ayora,21,EC,82,-0.74,79.0,1.99
185,bambous virieux,40,MU,100,-20.34,77.95,4.7
186,kavaratti,30,IN,68,10.57,84.15,7.83
187,cacoal,99,BR,91,-11.44,72.37,2.75
188,naze,75,JP,88,28.37,69.8,4.7
189,rocha,100,UY,86,-34.48,68.29,8.86
190,norman wells,20,CA,45,65.28,5.0,4.7
191,la ronge,90,CA,78,55.1,10.4,13.87
192,tuktoyaktuk,20,CA,64,69.45,-2.2,13.87
193,kotka,0,FI,85,60.47,19.4,5.82
194,san felipe,81,VE,78,10.34,72.9,4.88
195,bang saphan,2,TH,70,11.21,89.6,3.36
196,togur,100,RU,89,58.36,34.72,10.98
197,bo phloi,36,TH,20,14.32,94.69,3.98
198,saint anthony,1,US,37,45.02,47.86,6.93
199,lexington,1,US,40,37.99,51.66,5.82
200,general roca,34,AR,45,-39.03,66.2,3.36
201,sangar,100,RU,95,63.92,18.25,6.58
202,iqaluit,5,CA,64,63.75,-4.0,17.22
203,portland,90,US,70,45.52,43.9,10.29
204,massa,100,IT,71,44.02,48.0,16.11
205,chicama,100,PE,68,-7.84,75.38,4.43
206,nenjiang,80,CN,61,49.18,39.43,11.52
207,saldanha,72,ZA,87,-33.01,55.4,8.05
208,tera,94,NE,16,14.01,83.8,12.5
209,khatanga,100,RU,91,71.97,-1.77,10.71
210,camana,100,PE,71,-16.62,73.11,6.44
211,dhupgari,0,IN,23,26.59,82.63,7.61
212,ilulissat,100,GL,68,69.22,24.8,18.34
213,narsaq,86,GL,90,60.92,32.0,3.36
214,dingle,16,PH,53,11.0,86.85,12.91
215,dickinson,90,US,83,29.46,74.64,5.82
216,bojnurd,40,IR,93,37.47,42.8,4.7
217,diamantino,8,BR,77,-14.41,74.95,1.86
218,steamboat springs,40,US,80,40.48,33.8,6.93
219,north bend,90,US,93,43.41,46.99,9.17
220,fare,20,PF,77,-16.7,84.09,14.52
221,tucupita,33,VE,86,9.06,72.86,4.05
222,san jose,20,US,62,37.34,57.2,14.99
223,palu,60,ID,48,-0.89,90.95,4.14
224,hervey bay,75,AU,51,-25.3,84.81,6.93
225,leningradskiy,65,RU,91,69.38,19.38,6.98
226,wajima,40,JP,66,37.4,53.6,8.05
227,skelleftea,100,SE,49,64.75,26.85,13.87
228,labuan,75,MY,74,5.28,84.09,3.36
229,stutterheim,86,ZA,47,-32.57,63.97,6.98
230,thisted,0,DK,84,56.96,31.24,9.71
231,kaitangata,7,NZ,89,-46.28,57.0,1.01
232,sovetskiy,100,RU,96,61.36,26.2,4.09
233,sao joao da barra,99,BR,83,-21.64,75.74,4.59
234,beringovskiy,32,RU,91,63.05,25.77,9.98
235,isangel,95,VU,82,-19.55,78.49,23.0
236,tra vinh,44,VN,46,9.93,92.03,7.07
237,vardo,23,NO,93,70.37,23.22,14.76
238,coroneo,40,MX,41,20.13,77.0,11.41
239,santa fe,67,AR,72,-31.63,79.83,1.99
240,libertador general san martin,93,AR,68,-23.81,75.65,0.76
241,torbay,90,CA,100,47.67,30.52,14.99
242,cabanas,40,CU,83,22.98,77.0,5.82
243,richards bay,27,ZA,78,-28.78,71.53,18.77
244,katsuura,75,JP,66,35.13,52.7,8.05
245,guerrero negro,100,MX,51,27.98,67.35,16.08
246,roma,90,US,87,43.21,41.68,0.13
247,monrovia,41,LR,89,6.3,80.73,6.89
248,namatanai,43,PG,71,-3.67,84.36,9.1
249,tukrah,81,LY,73,32.53,57.79,24.18
250,yenagoa,85,NG,93,4.92,78.8,4.29
251,beyneu,100,KZ,83,45.32,48.22,6.96
252,buala,63,SB,68,-8.14,86.31,8.55
253,carolina,40,PR,65,18.38,75.51,11.41
254,maniitsoq,98,GL,91,65.42,23.05,13.76
255,ilo,95,PE,76,-17.64,71.02,1.72
256,hami,0,CN,27,42.8,48.4,11.74
257,arlit,0,NE,15,18.74,80.91,9.78
258,pecos,1,US,13,31.42,67.5,11.41
259,zykovo,84,RU,48,55.95,39.2,13.42
260,klaksvik,88,FO,81,62.23,42.8,19.46
261,hay river,40,CA,64,60.82,-0.4,4.7
262,soanierana ivongo,81,MG,89,-16.92,75.94,2.62
263,honningsvag,100,NO,88,70.98,27.46,19.42
264,bunol,75,ES,93,39.42,45.43,3.36
265,atar,32,MR,19,20.52,70.88,3.67
266,kinshasa,75,CD,88,-4.32,73.4,2.04
267,gizo,90,SB,69,-8.1,86.5,9.17
268,ahipara,13,NZ,70,-35.17,67.96,9.64
269,mocajuba,100,BR,97,-2.58,74.79,4.68
270,linqiong,0,CN,77,30.42,58.53,2.24
271,huilong,41,CN,76,31.81,57.99,1.99
272,broome,90,US,86,42.25,40.93,5.82
273,vostok,100,RU,38,46.49,48.85,11.32
274,massakory,4,TD,24,13.0,85.24,5.23
275,cabedelo,75,BR,100,-6.98,77.0,2.24
276,karpogory,0,RU,96,64.0,14.02,5.17
277,pampierstad,100,ZA,62,-27.78,63.01,5.1
278,changji,0,CN,44,44.02,41.0,2.24
279,moerai,9,PF,79,-22.43,78.46,15.5
280,aleppo,70,SY,76,36.25,48.54,1.54
281,miles city,1,US,28,46.41,56.14,3.36
282,san patricio,5,MX,69,19.22,82.4,5.93
283,dukat,100,RU,83,62.55,11.77,4.07
284,fjerritslev,0,DK,78,57.08,30.7,4.0
285,fairbanks,1,US,25,64.84,26.1,17.22
286,moose factory,1,CA,85,51.26,19.4,9.17
287,bubaque,46,GW,68,11.28,79.3,8.99
288,edd,1,ER,73,13.93,78.71,3.15
289,maple creek,99,CA,45,49.92,47.17,16.89
290,rincon,75,US,52,32.3,67.84,3.36
291,manokwari,91,ID,68,-0.87,83.98,5.95
292,kahului,40,US,61,20.89,73.13,19.46
293,jalu,0,LY,71,29.03,57.92,15.19
294,atasu,0,KZ,78,48.68,27.66,10.92
295,souillac,40,MU,100,-20.52,77.92,4.7
296,ostrovnoy,99,RU,95,68.05,12.49,9.51
297,nabire,33,ID,62,-3.37,87.85,4.16
298,odienne,38,CI,48,9.51,78.19,2.1
299,isilkul,0,RU,93,54.91,26.56,6.64
300,surt,35,LY,77,31.21,57.24,14.67
301,montivilliers,31,FR,93,49.55,36.37,6.93
302,staryy nadym,0,RU,94,65.61,13.5,12.5
303,sitka,75,US,37,57.05,34.75,11.41
304,taonan,96,CN,93,45.33,44.01,1.01
305,chernyshevskiy,100,RU,92,63.01,22.48,12.57
306,palkonda,0,IN,46,18.6,90.1,1.12
307,wangaratta,0,AU,43,-36.37,71.06,3.36
308,oranjemund,74,NA,83,-28.55,60.57,9.37
309,tortoli,40,IT,66,39.93,51.8,5.82
310,beatrice,40,US,41,40.27,57.58,6.93
311,kavieng,57,PG,69,-2.57,83.82,2.39
312,pingliang,84,CN,24,35.54,54.97,5.28
313,omaruru,53,NA,62,-21.43,63.84,1.99
314,vasilsursk,100,RU,91,56.13,36.91,8.55
315,chapais,90,CA,86,49.78,30.2,12.75
316,san luis,99,AR,64,-33.3,69.35,4.97
317,samarai,87,PG,78,-10.62,83.21,5.06
318,iskateley,96,RU,96,67.68,15.12,9.13
319,marawi,83,PH,49,8.0,82.54,6.13
320,susanville,40,US,65,40.42,44.28,12.75
321,kidal,72,ML,13,18.44,76.6,11.52
322,biskamzha,0,RU,61,53.45,34.65,2.59
323,port blair,1,IN,72,11.67,81.23,4.97
324,kankaanpaa,46,FI,72,61.8,17.6,4.7
325,saskylakh,94,RU,89,71.92,0.88,1.88
326,yeppoon,40,AU,51,-23.13,86.0,5.82
327,batagay-alyta,31,RU,77,67.8,5.58,1.1
328,port elizabeth,22,ZA,93,-33.92,62.6,12.75
329,port-gentil,74,GA,78,-0.72,82.26,3.94
330,mayo,1,US,62,38.89,54.82,9.17
331,luanda,61,AO,89,-8.84,76.68,7.4
332,palauig,0,PH,52,15.44,87.94,7.05
333,camabatela,58,AO,67,-8.19,62.92,1.83
334,sioux lookout,40,CA,30,50.1,42.48,4.7
335,neiafu,94,TO,81,-18.65,82.99,14.03
336,szczytno,87,PL,95,53.56,25.61,5.5
337,broken hill,0,AU,27,-31.95,77.0,14.99
338,laguna,75,US,59,38.42,60.39,8.05
339,saint-martin-de-crau,100,FR,70,43.64,42.42,5.82
340,derbent,100,RU,75,42.07,51.67,1.79
341,pringsewu,87,ID,71,-5.36,82.22,2.89
342,qarqin,100,AF,65,37.42,62.24,6.4
343,vestmannaeyjar,100,IS,85,63.44,44.15,23.64
344,asau,90,RO,55,46.43,32.88,13.87
345,cherdyn,100,RU,96,60.4,23.74,7.83
346,faya,0,SA,51,18.39,59.9,2.13
347,khor,73,RU,48,47.89,53.13,16.26
348,santa isabel do rio negro,99,BR,97,-0.41,73.9,0.49
349,pangnirtung,98,CA,83,66.15,-16.38,11.14
350,mount gambier,40,AU,60,-37.83,68.0,8.05
351,padang,15,ID,55,-0.95,88.79,2.13
352,ayan,4,RU,91,56.45,31.3,4.99
353,saint-joseph,75,RE,78,-21.37,70.77,6.93
354,yarada,20,IN,88,17.65,77.0,2.24
355,isiro,99,CD,79,2.77,65.32,2.77
356,dubai,0,AE,82,25.26,65.82,9.17
357,westport,90,US,75,41.14,44.04,6.93
358,hastings,31,GB,86,50.86,38.82,9.17
359,kajaani,21,FI,78,64.23,15.8,8.05
360,bud,1,US,66,39.45,46.78,6.93
361,almaznyy,40,RU,87,48.04,48.2,11.18
362,pacific grove,1,US,63,36.62,57.31,9.17
363,karlshamn,0,SE,85,56.17,21.78,1.12
364,san angelo,1,US,21,31.46,71.62,12.75
365,lasa,5,IT,85,46.62,22.6,9.17
366,loandjili,20,CG,100,-4.76,77.0,3.36
367,luena,52,AO,65,-11.78,61.77,1.79
368,tshikapa,34,CD,78,-6.42,69.35,2.57
369,mahebourg,40,MU,100,-20.41,77.79,4.7
370,macia,0,MZ,89,-25.03,63.21,3.58
371,corsicana,90,US,93,32.1,55.92,4.7
372,voyvozh,100,RU,94,62.89,17.02,1.81
373,varadero,8,CU,78,23.15,78.8,5.82
374,arcachon,90,FR,100,44.59,33.55,4.7
375,rimavska sobota,0,SK,49,48.38,19.0,3.31
376,teguldet,100,RU,87,57.31,33.19,13.33
377,palaikastron,51,GR,72,35.2,59.0,4.0
378,hambantota,25,LK,100,6.12,75.2,2.24
379,tessalit,36,ML,16,20.2,71.02,7.25
380,iberia,40,US,88,29.95,75.45,14.99
381,vila franca do campo,75,PT,76,37.72,57.2,13.87
382,west wendover,1,US,30,40.74,55.4,13.87
383,methoni,100,GR,81,36.82,52.81,3.36
384,gashua,75,NG,17,12.87,80.96,5.32
385,bitung,40,ID,78,1.45,82.4,3.36
386,sulangan,27,PH,62,11.14,83.44,3.87
387,sarkand,0,KZ,31,45.41,47.93,0.09
388,freeport,90,US,81,40.66,44.73,4.7
389,frontera,97,MX,52,26.93,75.0,1.99
390,koumac,42,NC,64,-20.57,81.01,11.03
391,kalashnikovo,82,RU,84,57.28,23.52,9.95
392,fortuna,90,US,93,40.6,52.65,5.37
393,mujiayingzi,28,CN,38,42.12,42.94,18.03
394,boa vista,40,BR,58,2.82,86.0,11.41
395,port hedland,9,AU,37,-20.32,98.6,8.05
396,cherskiy,100,RU,91,68.75,4.75,15.64
397,hirado,75,JP,82,33.36,59.0,3.36
398,baykit,100,RU,92,61.67,28.92,6.24
399,kysyl-syr,95,RU,96,63.9,21.34,6.93
400,kununurra,40,AU,36,-15.77,95.0,6.93
401,harlingen,1,US,69,26.19,77.77,6.93
402,nouadhibou,95,MR,72,20.93,66.2,10.29
403,thoen,0,TH,20,17.61,99.68,0.58
404,beloha,19,MG,89,-25.17,68.58,8.59
405,neka,75,IR,93,36.65,53.6,9.17
406,zhezkazgan,0,KZ,74,47.8,30.2,13.42
407,grindavik,90,IS,93,63.84,42.8,26.4
408,semnan,13,IR,39,35.57,46.53,4.81
409,lariano,89,IT,100,41.72,45.09,2.24
410,meulaboh,78,ID,72,4.14,84.4,4.36
411,kunda,0,IN,21,25.72,83.14,5.86
412,half moon bay,1,US,76,37.46,56.39,6.93
413,la rochelle,27,FR,41,46.17,38.71,16.11
414,vaasa,99,FI,62,63.1,24.46,9.17
415,ko samui,20,TH,70,9.54,87.8,9.17
416,phalaborwa,78,ZA,88,-23.94,64.4,1.12
417,port hardy,75,CA,86,50.7,41.0,6.93
418,belaya gora,90,RU,93,68.53,11.07,8.39
419,iquitos,97,PE,94,-3.75,77.0,1.12
420,ternate,88,ID,74,0.8,84.16,4.7
421,brigantine,90,US,87,39.41,44.87,4.7
422,colombia,13,CU,88,20.99,71.94,7.43
423,sibolga,99,ID,58,1.74,87.89,0.54
424,grants pass,75,US,76,42.44,48.0,4.7
425,luderitz,1,NA,82,-26.65,59.0,6.93
426,te anau,89,NZ,48,-45.42,62.28,3.6
427,salinopolis,97,BR,83,-0.61,80.89,6.62
428,warrnambool,4,AU,76,-38.38,64.99,9.66
429,amahai,53,ID,68,-3.33,85.51,4.47
430,januaria,11,BR,78,-15.48,71.22,1.99
431,gravdal,100,NO,90,68.12,39.09,37.33
432,byron bay,25,AU,61,-28.65,80.74,11.41
433,acurenam,95,GQ,80,1.03,68.36,2.01
434,vanimo,19,PG,73,-2.67,84.0,8.7
435,calama,80,CL,32,-22.47,55.4,1.12
436,corn island,0,NI,76,12.17,81.27,13.13
437,lamu,100,KE,81,-2.27,82.83,8.59
438,tura,0,IN,17,25.52,84.11,4.18
439,nara,75,JP,67,34.69,59.7,5.82
440,clyde river,90,CA,84,70.47,-2.2,24.16
441,kaeo,20,NZ,72,-35.1,73.49,7.0
442,chuy,98,UY,90,-33.7,70.12,10.89
443,gorontalo,54,ID,78,0.54,84.49,4.59
444,akdepe,93,TM,87,42.06,50.86,11.41
445,olafsvik,100,IS,91,64.89,41.83,24.79
446,gavirate,75,IT,86,45.84,39.02,16.11
447,aksarka,1,RU,93,66.56,12.79,14.83
448,dayton,90,US,69,39.76,46.09,10.29
449,benguela,93,AO,85,-12.58,75.34,2.04
450,rio de janeiro,75,BR,88,-22.9,76.59,3.36
451,mecca,0,SA,43,21.43,70.27,1.77
452,carlyle,1,US,71,38.61,55.08,3.87
453,akyab,1,MM,47,20.15,82.44,2.26
454,anadyr,20,RU,85,64.75,17.26,17.9
455,chalmette,75,US,83,29.94,74.52,6.93
456,maumere,92,ID,65,-8.62,85.35,3.38
457,price,1,US,36,39.6,46.35,5.82
458,smiltene,34,LV,48,57.42,28.0,1.99
459,barra dos coqueiros,40,BR,88,-10.91,80.6,5.82
460,huarmey,100,PE,74,-10.07,74.37,4.03
461,omboue,91,GA,85,-1.57,78.94,3.29
462,urumqi,0,CN,44,43.8,41.0,2.24
463,grand gaube,40,MU,100,-20.01,78.26,4.7
464,wisconsin rapids,1,US,52,44.38,43.25,13.87
465,lianzhou,94,CN,76,24.78,57.51,2.3
466,taoudenni,12,ML,21,22.68,69.31,5.03
467,havre-saint-pierre,90,CA,79,50.23,23.0,3.36
468,kayseri,40,TR,50,38.74,32.0,2.24
469,galle,95,LK,78,6.04,81.28,4.41
470,ugep,96,NG,89,5.81,77.38,2.53
471,pitimbu,75,BR,100,-7.47,77.0,2.24
472,pathein,0,MM,45,16.78,88.77,6.29
473,kalmunai,11,LK,68,7.42,82.54,4.5
474,talcahuano,0,CL,71,-36.72,57.2,6.93
475,morant bay,40,JM,74,17.88,77.54,20.8
476,lewiston,90,US,95,44.1,32.18,8.05
477,monywa,0,MM,15,22.12,91.45,5.14
478,torrington,90,US,93,41.8,40.35,12.75
479,borovoy,99,RU,93,55.43,32.0,11.18
480,jinka,22,ET,60,5.65,63.82,3.62
481,virton,36,BE,83,49.57,31.73,8.05
482,leh,95,IN,25,34.17,23.68,2.55
483,loreto,18,MX,15,22.27,74.62,2.84
484,lower hutt,63,NZ,87,-41.22,61.3,12.75
485,nong khai,16,TH,70,17.88,85.5,4.7
486,lubango,100,AO,54,-14.92,60.35,1.57
487,araouane,92,ML,15,18.9,75.69,8.34
488,kutum,45,SD,17,14.2,64.96,5.46
489,los llanos de aridane,90,ES,72,28.66,60.57,4.7
490,mount hagen,40,PG,69,-5.86,73.4,4.7
491,acarau,100,BR,91,-2.89,76.62,6.33
492,sept-iles,75,CA,62,50.2,23.79,2.24
493,kaoma,83,ZM,68,-14.78,62.89,4.85
494,sinop,0,TR,61,41.77,40.5,0.94
495,rabaul,61,PG,77,-4.2,84.45,10.51
496,douentza,71,ML,18,15.0,79.14,7.92
497,goundam,44,ML,15,16.41,79.43,12.12
498,vigrestad,20,NO,86,58.57,33.13,3.36
499,taltal,55,CL,69,-25.4,65.97,0.94
500,along,13,IN,36,28.17,79.47,0.58
501,palmer,90,US,93,42.16,37.33,5.82
502,killybegs,100,IE,83,54.63,43.0,5.01
503,san vicente,16,AR,76,-26.62,67.62,2.08
504,buford,1,US,36,34.12,62.42,4.7
505,ankola,23,IN,64,14.67,84.96,2.06
506,kharp,51,RU,92,66.8,13.66,8.3
507,nuuk,79,GL,68,64.18,28.2,21.92
508,korla,0,CN,32,41.76,46.89,6.26
509,leopold,40,AU,55,-38.18,67.73,9.17
510,lakefield,1,US,48,43.68,43.86,4.7
511,zdvinsk,32,RU,96,54.7,28.36,10.78
512,tigil,99,RU,92,57.8,26.24,23.89
513,dali,0,CN,15,25.7,70.25,4.56
514,emerald,100,AU,45,-23.53,86.43,5.82
515,yerbogachen,100,RU,95,61.28,28.09,10.2
516,sedkyrkeshch,100,RU,53,61.75,23.0,2.24
517,khandyga,100,RU,94,62.67,24.39,5.99
518,arenys de mar,90,ES,81,41.58,47.32,3.36
519,beira,75,MZ,88,-19.84,73.4,5.82
520,knysna,51,ZA,93,-34.04,55.4,5.82
521,port moresby,98,PG,71,-9.44,83.5,12.66
522,san quintin,100,MX,77,30.48,60.4,14.16
523,luau,92,AO,71,-10.71,63.9,2.28
524,babu,100,CN,80,24.42,54.63,5.26
525,juba,28,SS,50,4.85,79.68,5.66
526,severomorsk,3,RU,84,69.07,-2.2,2.24
527,lom sak,1,TH,65,16.78,86.18,1.12
528,tezu,0,IN,22,27.92,85.24,3.04
